trial_num,session_num,stim_probability_left,contrast,position,response_choice,trial_correct,reaction_time
1,7,0.5,0.125,35.0,1,1.0,0.29879999999999995
2,7,0.5,1.0,-35.0,-1,1.0,0.2738010000000006
3,7,0.5,0.0625,35.0,1,1.0,0.34070100000000103
4,7,0.5,0.25,-35.0,-1,1.0,0.25510000000000055
5,7,0.5,0.125,-35.0,-1,1.0,0.25379999999999825
6,7,0.5,0.0,-35.0,1,0.0,0.6817999999999991
7,7,0.5,0.0625,-35.0,1,0.0,0.311599999999995
8,7,0.5,0.25,35.0,1,1.0,0.24799999999999756
9,7,0.5,0.0625,-35.0,1,0.0,2.395399999999995
10,7,0.5,0.125,35.0,1,1.0,0.26769999999999783
11,7,0.5,0.0,35.0,1,1.0,2.6125000000000043
12,7,0.5,0.25,35.0,1,1.0,0.27550099999999844
13,7,0.5,0.25,35.0,1,1.0,0.2591999999999999
14,7,0.5,0.0625,-35.0,-1,1.0,0.3556999999999988
15,7,0.5,0.0625,-35.0,1,0.0,1.4806999999999988
16,7,0.5,0.0625,-35.0,-1,1.0,0.26269999999998817
17,7,0.5,0.0625,-35.0,-1,1.0,0.3189000000000135
18,7,0.5,0.25,35.0,1,1.0,0.24660000000000082
19,7,0.5,0.0625,-35.0,1,0.0,1.024300000000025
20,7,0.5,0.0,35.0,1,1.0,7.001700000000014
21,7,0.5,0.125,35.0,1,1.0,0.256299999999996
22,7,0.5,0.25,35.0,1,1.0,0.33960000000000434
23,7,0.5,1.0,-35.0,-1,1.0,0.30390000000001294
24,7,0.5,0.125,-35.0,-1,1.0,0.2938000000000045
25,7,0.5,0.0,-35.0,1,0.0,0.2908000000000186
26,7,0.5,0.25,-35.0,-1,1.0,0.2254000000000076
27,7,0.5,0.125,-35.0,-1,1.0,0.32270000000001176
28,7,0.5,0.25,35.0,1,1.0,0.22750000000002046
29,7,0.5,0.0625,-35.0,-1,1.0,1.096500000000006
30,7,0.5,0.0625,-35.0,-1,1.0,0.3410000000000082
31,7,0.5,0.0625,-35.0,-1,1.0,0.24370000000000402
32,7,0.5,0.0625,-35.0,-1,1.0,1.436700000000016
33,7,0.5,1.0,35.0,1,1.0,0.287399999999991
34,7,0.5,0.125,35.0,1,1.0,0.25489999999999213
35,7,0.5,0.125,-35.0,-1,1.0,0.27889999999999304
36,7,0.5,1.0,35.0,1,1.0,0.22369999999997958
37,7,0.5,0.0625,-35.0,-1,1.0,0.3143999999999778
38,7,0.5,0.25,35.0,1,1.0,0.24290099999998915
39,7,0.5,0.125,35.0,1,1.0,0.2598999999999876
40,7,0.5,0.25,35.0,1,1.0,0.23499999999998522
41,7,0.5,0.125,35.0,1,1.0,0.3190009999999859
42,7,0.5,0.125,35.0,1,1.0,0.28819999999998913
